dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",4,2440,20,0.1,0.01,[100],40,0.326,20.486207745037973,0.14960159,0.21909924,0.2382476
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2421,1,0.1,0.01,[100],40,0.329,20.159153847023845,0.14575697,0.21183613,0.23125819
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2422,2,0.1,0.01,[100],40,0.329,20.193194429855794,0.15328685,0.22439031,0.24357897
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2423,3,0.1,0.01,[100],40,0.323,20.760612725047395,0.14673307,0.21514555,0.23193453
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2424,4,0.1,0.01,[100],40,0.332,20.15676841698587,0.14687251,0.2135223,0.22800881
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2425,5,0.1,0.01,[100],40,0.334,20.017858759034425,0.13850598,0.1997856,0.21674532
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2426,6,0.1,0.01,[100],40,0.33,20.61916727712378,0.15051793,0.22048529,0.2395561
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2427,7,0.1,0.01,[100],40,0.324,19.967219223966822,0.13936255,0.20617429,0.21925507
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2428,8,0.1,0.01,[100],40,0.331,20.12521267309785,0.14464143,0.21082398,0.22762277
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2429,9,0.1,0.01,[100],40,0.326,20.640647320076823,0.14412351,0.20862774,0.22716218
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2430,10,0.1,0.01,[100],40,0.325,20.01607432588935,0.1461753,0.21223851,0.22784088
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2431,11,0.1,0.01,[100],40,0.323,19.936795210000128,0.14284861,0.20640512,0.22420925
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2432,12,0.1,0.01,[100],40,0.326,20.366456863004714,0.15135458,0.21834873,0.2417615
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2433,13,0.1,0.01,[100],40,0.325,19.860787336947396,0.14703187,0.21311572,0.2337912
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2434,14,0.1,0.01,[100],40,0.329,20.07316424511373,0.14537849,0.21174157,0.22980139
lastfm-asia,mf,3,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""17"": 0.3333333333333333}",4,2435,15,0.1,0.01,[100],40,0.326,20.615406821016222,0.14543825,0.2131403,0.2321567
